Concentration,Conc_Value,Time_min,RFU_Interpolated,Is_Extrapolated
0.625 ug/mL,0.625,26.865,10918.809360589708,False
0.625 ug/mL,0.625,26.91,10918.809360589708,False
0.625 ug/mL,0.625,26.955,10918.809360589708,False
0.625 ug/mL,0.625,27.0,10918.809360589708,False
0.625 ug/mL,0.625,27.044999999999998,10918.809360589708,False
0.625 ug/mL,0.625,27.09,10918.809360589708,False
0.625 ug/mL,0.625,27.134999999999998,10918.809360589708,False
0.625 ug/mL,0.625,27.18,10918.809360589708,False
0.625 ug/mL,0.625,27.224999999999998,10918.809360589708,False
0.625 ug/mL,0.625,27.27,10918.809360589708,False
0.625 ug/mL,0.625,27.314999999999998,10918.809360589708,False
0.625 ug/mL,0.625,27.36,10918.809360589708,False
0.625 ug/mL,0.625,27.404999999999998,10918.809360589708,False
0.625 ug/mL,0.625,27.45,10918.809360589708,False
0.625 ug/mL,0.625,27.494999999999997,10918.809360589708,False
0.625 ug/mL,0.625,27.54,10918.809360589708,False
0.625 ug/mL,0.625,27.584999999999997,10918.809360589708,False
0.625 ug/mL,0.625,27.63,10918.809360589708,False
0.625 ug/mL,0.625,27.675,10918.809360589708,False
0.625 ug/mL,0.625,27.72,10918.809360589708,False
0.625 ug/mL,0.625,27.765,10918.809360589708,False
0.625 ug/mL,0.625,27.81,10918.809360589708,False
0.625 ug/mL,0.625,27.855,10918.809360589708,False
0.625 ug/mL,0.625,27.9,10918.809360589708,False
0.625 ug/mL,0.625,27.945,10918.809360589708,False
0.625 ug/mL,0.625,27.99,10918.809360589708,False
0.625 ug/mL,0.625,28.035,10918.809360589708,False
0.625 ug/mL,0.625,28.08,10918.809360589708,False
0.625 ug/mL,0.625,28.125,10918.809360589708,False
0.625 ug/mL,0.625,28.169999999999998,10918.809360589708,False
0.625 ug/mL,0.625,28.215,10918.809360589708,False
0.625 ug/mL,0.625,28.259999999999998,10918.809360589708,False
0.625 ug/mL,0.625,28.305,10918.809360589708,False
0.625 ug/mL,0.625,28.349999999999998,10918.809360589708,False
0.625 ug/mL,0.625,28.395,10918.809360589708,False
0.625 ug/mL,0.625,28.439999999999998,10918.809360589708,False
0.625 ug/mL,0.625,28.485,10918.809360589708,False
0.625 ug/mL,0.625,28.529999999999998,10918.809360589708,False
0.625 ug/mL,0.625,28.575,10918.809360589708,False
0.625 ug/mL,0.625,28.619999999999997,10918.809360589708,False
0.625 ug/mL,0.625,28.665,10918.809360589708,False
0.625 ug/mL,0.625,28.709999999999997,10918.809360589708,False
0.625 ug/mL,0.625,28.755,10918.809360589708,False
0.625 ug/mL,0.625,28.799999999999997,10918.809360589708,False
0.625 ug/mL,0.625,28.845,10918.809360589708,False
0.625 ug/mL,0.625,28.89,10918.809360589708,False
0.625 ug/mL,0.625,28.935,10918.809360589708,False
0.625 ug/mL,0.625,28.98,10918.809360589708,False
0.625 ug/mL,0.625,29.025,10918.809360589708,False
0.625 ug/mL,0.625,29.07,10918.809360589708,False
0.625 ug/mL,0.625,29.115,10918.809360589708,False
0.625 ug/mL,0.625,29.16,10918.809360589708,False
0.625 ug/mL,0.625,29.205,10918.809360589708,False
0.625 ug/mL,0.625,29.25,10918.809360589708,False
0.625 ug/mL,0.625,29.294999999999998,10918.809360589708,False
0.625 ug/mL,0.625,29.34,10918.809360589708,False
0.625 ug/mL,0.625,29.384999999999998,10918.809360589708,False
0.625 ug/mL,0.625,29.43,10918.809360589708,False
0.625 ug/mL,0.625,29.474999999999998,10918.809360589708,False
0.625 ug/mL,0.625,29.52,10918.809360589708,False
0.625 ug/mL,0.625,29.564999999999998,10918.809360589708,False
0.625 ug/mL,0.625,29.61,10918.809360589708,False
0.625 ug/mL,0.625,29.654999999999998,10918.809360589708,False
0.625 ug/mL,0.625,29.7,10918.809360589708,False
0.625 ug/mL,0.625,29.744999999999997,10918.809360589708,False
0.625 ug/mL,0.625,29.79,10918.809360589708,False
0.625 ug/mL,0.625,29.834999999999997,10918.809360589708,False
0.625 ug/mL,0.625,29.88,10918.809360589708,False
0.625 ug/mL,0.625,29.924999999999997,10918.809360589708,False
0.625 ug/mL,0.625,29.97,10918.809360589708,False
0.625 ug/mL,0.625,30.015,10918.809360589708,True
0.625 ug/mL,0.625,30.06,10918.809360589708,True
0.625 ug/mL,0.625,30.105,10918.809360589708,True
0.625 ug/mL,0.625,30.15,10918.809360589708,True
0.625 ug/mL,0.625,30.195,10918.809360589708,True
0.625 ug/mL,0.625,30.24,10918.809360589708,True
0.625 ug/mL,0.625,30.285,10918.809360589708,True
0.625 ug/mL,0.625,30.33,10918.809360589708,True
0.625 ug/mL,0.625,30.375,10918.809360589708,True
0.625 ug/mL,0.625,30.419999999999998,10918.809360589708,True
