Concentration,Time_min,Fit_Value,Vmax,Km
0.3125ug/ml,5.879396984924623,9333.911222439907,9210.0,0.255
0.3125ug/ml,6.030150753768844,9333.929202642417,9210.0,0.255
0.3125ug/ml,6.180904522613065,9333.94248236294,9210.0,0.255
0.3125ug/ml,6.331658291457286,9333.952290426952,9210.0,0.255
0.3125ug/ml,6.482412060301507,9333.959534413714,9210.0,0.255
0.3125ug/ml,6.633165829145728,9333.964884638197,9210.0,0.255
0.3125ug/ml,6.783919597989949,9333.968836177999,9210.0,0.255
0.3125ug/ml,6.93467336683417,9333.971754684851,9210.0,0.255
0.3125ug/ml,7.085427135678391,9333.973910219824,9210.0,0.255
0.3125ug/ml,7.236180904522612,9333.975502243162,9210.0,0.255
0.3125ug/ml,7.3869346733668335,9333.97667807113,9210.0,0.255
0.3125ug/ml,7.537688442211055,9333.977546507778,9210.0,0.255
0.3125ug/ml,7.688442211055276,9333.978187913013,9210.0,0.255
0.3125ug/ml,7.839195979899497,9333.978661638614,9210.0,0.255
0.3125ug/ml,7.989949748743718,9333.979011520301,9210.0,0.255
0.3125ug/ml,8.140703517587939,9333.979269934021,9210.0,0.255
0.3125ug/ml,8.29145728643216,9333.979460791827,9210.0,0.255
0.3125ug/ml,8.442211055276381,9333.979601754549,9210.0,0.255
0.3125ug/ml,8.592964824120603,9333.979705866033,9210.0,0.255
0.3125ug/ml,8.743718592964823,9333.979782760129,9210.0,0.255
0.3125ug/ml,8.894472361809044,9333.979839552154,9210.0,0.255
0.3125ug/ml,9.045226130653266,9333.979881497298,9210.0,0.255
0.3125ug/ml,9.195979899497488,9333.979912476918,9210.0,0.255
0.3125ug/ml,9.346733668341708,9333.979935357676,9210.0,0.255
0.3125ug/ml,9.497487437185928,9333.979952256823,9210.0,0.255
0.3125ug/ml,9.64824120603015,9333.979964738102,9210.0,0.255
0.3125ug/ml,9.798994974874372,9333.979973956459,9210.0,0.255
0.3125ug/ml,9.949748743718592,9333.979980764903,9210.0,0.255
0.3125ug/ml,10.100502512562812,9333.979985793447,9210.0,0.255
0.3125ug/ml,10.251256281407034,9333.9799895074,9210.0,0.255
0.3125ug/ml,10.402010050251256,9333.979992250432,9210.0,0.255
0.3125ug/ml,10.552763819095476,9333.979994276366,9210.0,0.255
0.3125ug/ml,10.703517587939697,9333.97999577267,9210.0,0.255
0.3125ug/ml,10.854271356783919,9333.9799968778,9210.0,0.255
0.3125ug/ml,11.00502512562814,9333.979997694023,9210.0,0.255
0.3125ug/ml,11.15577889447236,9333.979998296863,9210.0,0.255
0.3125ug/ml,11.306532663316581,9333.979998742107,9210.0,0.255
0.3125ug/ml,11.457286432160803,9333.979999070953,9210.0,0.255
0.3125ug/ml,11.608040201005025,9333.97999931383,9210.0,0.255
0.3125ug/ml,11.758793969849245,9333.979999493211,9210.0,0.255
0.3125ug/ml,11.909547738693465,9333.979999625699,9210.0,0.255
0.3125ug/ml,12.060301507537687,9333.97999972355,9210.0,0.255
0.3125ug/ml,12.21105527638191,9333.979999795822,9210.0,0.255
0.3125ug/ml,12.36180904522613,9333.9799998492,9210.0,0.255
0.3125ug/ml,12.51256281407035,9333.979999888623,9210.0,0.255
0.3125ug/ml,12.663316582914572,9333.97999991774,9210.0,0.255
0.3125ug/ml,12.814070351758794,9333.979999939243,9210.0,0.255
0.3125ug/ml,12.964824120603014,9333.979999955127,9210.0,0.255
0.3125ug/ml,13.115577889447234,9333.979999966858,9210.0,0.255
0.3125ug/ml,13.266331658291456,9333.979999975521,9210.0,0.255
0.3125ug/ml,13.417085427135678,9333.97999998192,9210.0,0.255
0.3125ug/ml,13.567839195979898,9333.979999986646,9210.0,0.255
0.3125ug/ml,13.718592964824118,9333.979999990139,9210.0,0.255
0.3125ug/ml,13.86934673366834,9333.979999992716,9210.0,0.255
0.3125ug/ml,14.020100502512562,9333.97999999462,9210.0,0.255
0.3125ug/ml,14.170854271356783,9333.979999996027,9210.0,0.255
0.3125ug/ml,14.321608040201003,9333.979999997066,9210.0,0.255
0.3125ug/ml,14.472361809045225,9333.979999997833,9210.0,0.255
0.3125ug/ml,14.623115577889447,9333.979999998399,9210.0,0.255
0.3125ug/ml,14.773869346733667,9333.979999998817,9210.0,0.255
0.3125ug/ml,14.924623115577887,9333.979999999126,9210.0,0.255
0.3125ug/ml,15.07537688442211,9333.979999999356,9210.0,0.255
0.3125ug/ml,15.226130653266331,9333.979999999523,9210.0,0.255
0.3125ug/ml,15.376884422110551,9333.979999999648,9210.0,0.255
0.3125ug/ml,15.527638190954772,9333.97999999974,9210.0,0.255
0.3125ug/ml,15.678391959798994,9333.979999999809,9210.0,0.255
0.3125ug/ml,15.829145728643216,9333.979999999858,9210.0,0.255
0.3125ug/ml,15.979899497487436,9333.979999999894,9210.0,0.255
0.3125ug/ml,16.130653266331656,9333.979999999921,9210.0,0.255
0.3125ug/ml,16.281407035175878,9333.979999999943,9210.0,0.255
0.3125ug/ml,16.4321608040201,9333.979999999958,9210.0,0.255
0.3125ug/ml,16.58291457286432,9333.979999999969,9210.0,0.255
0.3125ug/ml,16.73366834170854,9333.979999999976,9210.0,0.255
0.3125ug/ml,16.884422110552762,9333.979999999983,9210.0,0.255
0.3125ug/ml,17.035175879396984,9333.979999999987,9210.0,0.255
0.3125ug/ml,17.185929648241206,9333.97999999999,9210.0,0.255
0.3125ug/ml,17.336683417085425,9333.979999999992,9210.0,0.255
0.3125ug/ml,17.487437185929647,9333.979999999994,9210.0,0.255
0.3125ug/ml,17.63819095477387,9333.979999999996,9210.0,0.255
0.3125ug/ml,17.788944723618087,9333.979999999996,9210.0,0.255
0.3125ug/ml,17.93969849246231,9333.979999999998,9210.0,0.255
0.3125ug/ml,18.09045226130653,9333.979999999998,9210.0,0.255
0.3125ug/ml,18.241206030150753,9333.979999999998,9210.0,0.255
0.3125ug/ml,18.391959798994975,9333.979999999998,9210.0,0.255
0.3125ug/ml,18.542713567839193,9333.979999999998,9210.0,0.255
0.3125ug/ml,18.693467336683415,9333.98,9210.0,0.255
0.3125ug/ml,18.844221105527637,9333.98,9210.0,0.255
0.3125ug/ml,18.994974874371856,9333.98,9210.0,0.255
0.3125ug/ml,19.145728643216078,9333.98,9210.0,0.255
0.3125ug/ml,19.2964824120603,9333.98,9210.0,0.255
0.3125ug/ml,19.44723618090452,9333.98,9210.0,0.255
0.3125ug/ml,19.597989949748744,9333.98,9210.0,0.255
0.3125ug/ml,19.748743718592962,9333.98,9210.0,0.255
0.3125ug/ml,19.899497487437184,9333.98,9210.0,0.255
0.3125ug/ml,20.050251256281406,9333.98,9210.0,0.255
0.3125ug/ml,20.201005025125625,9333.98,9210.0,0.255
0.3125ug/ml,20.351758793969847,9333.98,9210.0,0.255
0.3125ug/ml,20.50251256281407,9333.98,9210.0,0.255
0.3125ug/ml,20.65326633165829,9333.98,9210.0,0.255
0.3125ug/ml,20.804020100502512,9333.98,9210.0,0.255
0.3125ug/ml,20.95477386934673,9333.98,9210.0,0.255
0.3125ug/ml,21.105527638190953,9333.98,9210.0,0.255
0.3125ug/ml,21.256281407035175,9333.98,9210.0,0.255
0.3125ug/ml,21.407035175879393,9333.98,9210.0,0.255
0.3125ug/ml,21.557788944723615,9333.98,9210.0,0.255
0.3125ug/ml,21.708542713567837,9333.98,9210.0,0.255
0.3125ug/ml,21.85929648241206,9333.98,9210.0,0.255
0.3125ug/ml,22.01005025125628,9333.98,9210.0,0.255
0.3125ug/ml,22.1608040201005,9333.98,9210.0,0.255
0.3125ug/ml,22.31155778894472,9333.98,9210.0,0.255
0.3125ug/ml,22.462311557788944,9333.98,9210.0,0.255
0.3125ug/ml,22.613065326633162,9333.98,9210.0,0.255
0.3125ug/ml,22.763819095477384,9333.98,9210.0,0.255
0.3125ug/ml,22.914572864321606,9333.98,9210.0,0.255
0.3125ug/ml,23.065326633165828,9333.98,9210.0,0.255
0.3125ug/ml,23.21608040201005,9333.98,9210.0,0.255
0.3125ug/ml,23.36683417085427,9333.98,9210.0,0.255
0.3125ug/ml,23.51758793969849,9333.98,9210.0,0.255
0.3125ug/ml,23.668341708542712,9333.98,9210.0,0.255
0.3125ug/ml,23.81909547738693,9333.98,9210.0,0.255
0.3125ug/ml,23.969849246231153,9333.98,9210.0,0.255
0.3125ug/ml,24.120603015075375,9333.98,9210.0,0.255
0.3125ug/ml,24.271356783919597,9333.98,9210.0,0.255
0.3125ug/ml,24.42211055276382,9333.98,9210.0,0.255
0.3125ug/ml,24.572864321608037,9333.98,9210.0,0.255
0.3125ug/ml,24.72361809045226,9333.98,9210.0,0.255
0.3125ug/ml,24.87437185929648,9333.98,9210.0,0.255
0.3125ug/ml,25.0251256281407,9333.98,9210.0,0.255
0.3125ug/ml,25.17587939698492,9333.98,9210.0,0.255
0.3125ug/ml,25.326633165829143,9333.98,9210.0,0.255
0.3125ug/ml,25.477386934673365,9333.98,9210.0,0.255
0.3125ug/ml,25.628140703517587,9333.98,9210.0,0.255
0.3125ug/ml,25.778894472361806,9333.98,9210.0,0.255
0.3125ug/ml,25.929648241206028,9333.98,9210.0,0.255
0.3125ug/ml,26.08040201005025,9333.98,9210.0,0.255
0.3125ug/ml,26.23115577889447,9333.98,9210.0,0.255
0.3125ug/ml,26.38190954773869,9333.98,9210.0,0.255
0.3125ug/ml,26.532663316582912,9333.98,9210.0,0.255
0.3125ug/ml,26.683417085427134,9333.98,9210.0,0.255
0.3125ug/ml,26.834170854271356,9333.98,9210.0,0.255
0.3125ug/ml,26.984924623115575,9333.98,9210.0,0.255
0.3125ug/ml,27.135678391959797,9333.98,9210.0,0.255
0.3125ug/ml,27.28643216080402,9333.98,9210.0,0.255
0.3125ug/ml,27.437185929648237,9333.98,9210.0,0.255
0.3125ug/ml,27.58793969849246,9333.98,9210.0,0.255
0.3125ug/ml,27.73869346733668,9333.98,9210.0,0.255
0.3125ug/ml,27.889447236180903,9333.98,9210.0,0.255
0.3125ug/ml,28.040201005025125,9333.98,9210.0,0.255
0.3125ug/ml,28.190954773869343,9333.98,9210.0,0.255
0.3125ug/ml,28.341708542713565,9333.98,9210.0,0.255
0.3125ug/ml,28.492462311557787,9333.98,9210.0,0.255
0.3125ug/ml,28.643216080402006,9333.98,9210.0,0.255
0.3125ug/ml,28.793969849246228,9333.98,9210.0,0.255
0.3125ug/ml,28.94472361809045,9333.98,9210.0,0.255
0.3125ug/ml,29.09547738693467,9333.98,9210.0,0.255
0.3125ug/ml,29.246231155778894,9333.98,9210.0,0.255
0.3125ug/ml,29.396984924623112,9333.98,9210.0,0.255
0.3125ug/ml,29.547738693467334,9333.98,9210.0,0.255
0.3125ug/ml,29.698492462311556,9333.98,9210.0,0.255
0.3125ug/ml,29.849246231155774,9333.98,9210.0,0.255
0.3125ug/ml,30.0,9333.98,9210.0,0.255
0.625 ug/mL,0.0,0.0,11015.0,0.1125
0.625 ug/mL,0.1507537688442211,5503.865710059766,11015.0,0.1125
0.625 ug/mL,0.3015075376884422,8299.364908928299,11015.0,0.1125
0.625 ug/mL,0.4522613065326633,9719.242533593264,11015.0,0.1125
0.625 ug/mL,0.6030150753768844,10440.420514914173,11015.0,0.1125
0.625 ug/mL,0.7537688442211055,10806.718054721396,11015.0,0.1125
0.625 ug/mL,0.9045226130653266,10992.766285732374,11015.0,0.1125
0.625 ug/mL,1.0552763819095476,11087.263082736612,11015.0,0.1125
0.625 ug/mL,1.2060301507537687,11135.259479130906,11015.0,0.1125
0.625 ug/mL,1.3567839195979898,11159.637597118703,11015.0,0.1125
0.625 ug/mL,1.507537688442211,11172.019623297183,11015.0,0.1125
0.625 ug/mL,1.658291457286432,11178.308647427813,11015.0,0.1125
0.625 ug/mL,1.809045226130653,11181.502940829032,11015.0,0.1125
0.625 ug/mL,1.9597989949748742,11183.125372246235,11015.0,0.1125
0.625 ug/mL,2.1105527638190953,11183.94943045658,11015.0,0.1125
0.625 ug/mL,2.2613065326633164,11184.3679824686,11015.0,0.1125
0.625 ug/mL,2.4120603015075375,11184.580571560691,11015.0,0.1125
