Concentration,Concentration [ug/mL],Time_min,RFU_Interpolated,Is_Extrapolated
Calibration Curve,,15.575,,False
Calibration Curve,,15.619499999999999,,False
Calibration Curve,,15.664,,False
Calibration Curve,,15.708499999999999,,False
Calibration Curve,,15.753,,False
Calibration Curve,,15.7975,,False
Calibration Curve,,15.841999999999999,,False
Calibration Curve,,15.8865,,False
Calibration Curve,,15.931,,False
Calibration Curve,,15.975499999999998,,False
Calibration Curve,,16.02,,False
Calibration Curve,,16.0645,,False
Calibration Curve,,16.108999999999998,,False
Calibration Curve,,16.153499999999998,,False
Calibration Curve,,16.198,,False
Calibration Curve,,16.2425,,False
Calibration Curve,,16.287,,False
Calibration Curve,,16.3315,,False
Calibration Curve,,16.375999999999998,,False
Calibration Curve,,16.4205,,False
Calibration Curve,,16.465,,False
Calibration Curve,,16.5095,,False
Calibration Curve,,16.554,,False
Calibration Curve,,16.598499999999998,,False
Calibration Curve,,16.643,,False
Calibration Curve,,16.6875,,False
Calibration Curve,,16.732,,False
Calibration Curve,,16.7765,,False
Calibration Curve,,16.820999999999998,,False
Calibration Curve,,16.8655,,False
Calibration Curve,,16.91,,False
Calibration Curve,,16.9545,,False
Calibration Curve,,16.999,,False
Calibration Curve,,17.043499999999998,,False
Calibration Curve,,17.088,,False
Calibration Curve,,17.1325,,False
Calibration Curve,,17.177,,False
Calibration Curve,,17.2215,,False
Calibration Curve,,17.266,,False
Calibration Curve,,17.310499999999998,,False
Calibration Curve,,17.355,,False
Calibration Curve,,17.3995,,False
Calibration Curve,,17.444,,False
Calibration Curve,,17.4885,,False
Calibration Curve,,17.532999999999998,,False
Calibration Curve,,17.5775,,False
Calibration Curve,,17.622,,False
Calibration Curve,,17.6665,,False
Calibration Curve,,17.711,,False
Calibration Curve,,17.755499999999998,,False
Calibration Curve,,17.8,,False
Calibration Curve,,17.8445,,False
Calibration Curve,,17.889,,False
Calibration Curve,,17.9335,,False
Calibration Curve,,17.977999999999998,,False
Calibration Curve,,18.0225,,False
Calibration Curve,,18.067,,False
Calibration Curve,,18.1115,,False
Calibration Curve,,18.156,,False
Calibration Curve,,18.200499999999998,,False
Calibration Curve,,18.244999999999997,,False
Calibration Curve,,18.2895,,False
Calibration Curve,,18.334,,False
Calibration Curve,,18.3785,,False
Calibration Curve,,18.423,,False
Calibration Curve,,18.467499999999998,,False
Calibration Curve,,18.512,,False
Calibration Curve,,18.5565,,False
Calibration Curve,,18.601,,False
Calibration Curve,,18.6455,,False
Calibration Curve,,18.689999999999998,,False
Calibration Curve,,18.7345,,False
Calibration Curve,,18.779,,False
Calibration Curve,,18.8235,,False
Calibration Curve,,18.868,,False
Calibration Curve,,18.912499999999998,,False
Calibration Curve,,18.957,,False
Calibration Curve,,19.0015,,False
Calibration Curve,,19.046,,False
Calibration Curve,,19.0905,,False
Calibration Curve,,19.134999999999998,,False
Calibration Curve,,19.179499999999997,,False
Calibration Curve,,19.224,,False
Calibration Curve,,19.2685,,False
Calibration Curve,,19.313,,False
Calibration Curve,,19.357499999999998,,False
Calibration Curve,,19.401999999999997,,False
Calibration Curve,,19.4465,,False
Calibration Curve,,19.491,,False
Calibration Curve,,19.5355,,False
Calibration Curve,,19.58,,False
Calibration Curve,,19.624499999999998,,False
Calibration Curve,,19.669,,False
Calibration Curve,,19.7135,,False
Calibration Curve,,19.758,,False
Calibration Curve,,19.8025,,False
Calibration Curve,,19.846999999999998,,False
Calibration Curve,,19.8915,,False
Calibration Curve,,19.936,,False
Calibration Curve,,19.9805,,False
Calibration Curve,,20.025,,False
Calibration Curve,,20.069499999999998,,False
Calibration Curve,,20.114,,False
Calibration Curve,,20.1585,,False
Calibration Curve,,20.203,,False
Calibration Curve,,20.2475,,False
Calibration Curve,,20.291999999999998,,False
Calibration Curve,,20.336499999999997,,False
Calibration Curve,,20.381,,False
Calibration Curve,,20.4255,,False
Calibration Curve,,20.47,,False
Calibration Curve,,20.514499999999998,,False
Calibration Curve,,20.558999999999997,,False
Calibration Curve,,20.6035,,False
Calibration Curve,,20.648,,False
Calibration Curve,,20.6925,,False
Calibration Curve,,20.737,,False
Calibration Curve,,20.781499999999998,,False
Calibration Curve,,20.826,,False
Calibration Curve,,20.8705,,False
Calibration Curve,,20.915,,False
Calibration Curve,,20.9595,,False
Calibration Curve,,21.003999999999998,,False
Calibration Curve,,21.0485,,False
Calibration Curve,,21.093,,False
Calibration Curve,,21.1375,,False
Calibration Curve,,21.182,,False
Calibration Curve,,21.226499999999998,,False
Calibration Curve,,21.270999999999997,,False
Calibration Curve,,21.3155,,False
Calibration Curve,,21.36,,False
Calibration Curve,,21.4045,,False
Calibration Curve,,21.448999999999998,,False
Calibration Curve,,21.493499999999997,,False
Calibration Curve,,21.538,,False
Calibration Curve,,21.5825,,False
Calibration Curve,,21.627,,False
Calibration Curve,,21.671499999999998,,False
Calibration Curve,,21.715999999999998,,False
Calibration Curve,,21.7605,,False
Calibration Curve,,21.805,,False
Calibration Curve,,21.8495,,False
Calibration Curve,,21.894,,False
Calibration Curve,,21.938499999999998,,False
Calibration Curve,,21.983,,False
Calibration Curve,,22.0275,,False
Calibration Curve,,22.072,,False
Calibration Curve,,22.1165,,False
Calibration Curve,,22.160999999999998,,False
Calibration Curve,,22.2055,,False
Calibration Curve,,22.25,,False
Calibration Curve,,22.2945,,False
Calibration Curve,,22.339,,False
Calibration Curve,,22.383499999999998,,False
Calibration Curve,,22.427999999999997,,False
Calibration Curve,,22.4725,,False
Calibration Curve,,22.517,,False
Calibration Curve,,22.5615,,False
Calibration Curve,,22.605999999999998,,False
Calibration Curve,,22.650499999999997,,False
Calibration Curve,,22.695,,False
Calibration Curve,,22.7395,,False
Calibration Curve,,22.784,,False
Calibration Curve,,22.8285,,False
Calibration Curve,,22.872999999999998,,False
Calibration Curve,,22.9175,,False
Calibration Curve,,22.962,,False
Calibration Curve,,23.0065,,False
Calibration Curve,,23.051,,False
Calibration Curve,,23.095499999999998,,False
Calibration Curve,,23.14,,False
Calibration Curve,,23.1845,,False
Calibration Curve,,23.229,,False
Calibration Curve,,23.2735,,False
Calibration Curve,,23.317999999999998,,False
Calibration Curve,,23.362499999999997,,False
Calibration Curve,,23.407,,False
Calibration Curve,,23.4515,,False
Calibration Curve,,23.496,,False
Calibration Curve,,23.540499999999998,,False
Calibration Curve,,23.584999999999997,,False
Calibration Curve,,23.6295,,False
Calibration Curve,,23.674,,False
Calibration Curve,,23.7185,,False
Calibration Curve,,23.762999999999998,,False
Calibration Curve,,23.807499999999997,,False
Calibration Curve,,23.852,,False
Calibration Curve,,23.8965,,False
Calibration Curve,,23.941,,False
Calibration Curve,,23.9855,,False
Calibration Curve,,24.029999999999998,,False
Calibration Curve,,24.0745,,False
Calibration Curve,,24.119,,False
Calibration Curve,,24.1635,,False
Calibration Curve,,24.208,,False
Calibration Curve,,24.252499999999998,,False
Calibration Curve,,24.297,,False
Calibration Curve,,24.3415,,False
Calibration Curve,,24.386,,False
Calibration Curve,,24.4305,,False
Calibration Curve,,24.474999999999998,,False
Calibration Curve,,24.519499999999997,,False
Calibration Curve,,24.564,,False
Calibration Curve,,24.6085,,False
Calibration Curve,,24.653,,False
Calibration Curve,,24.697499999999998,,False
Calibration Curve,,24.741999999999997,,False
Calibration Curve,,24.7865,,False
Calibration Curve,,24.831,,False
Calibration Curve,,24.8755,,False
Calibration Curve,,24.919999999999998,,False
Calibration Curve,,24.964499999999997,,False
Calibration Curve,,25.009,,False
Calibration Curve,,25.0535,,False
Calibration Curve,,25.098,,False
Calibration Curve,,25.1425,,False
Calibration Curve,,25.186999999999998,,False
Calibration Curve,,25.2315,,False
Calibration Curve,,25.276,,False
Calibration Curve,,25.3205,,False
Calibration Curve,,25.365,,False
Calibration Curve,,25.409499999999998,,False
Calibration Curve,,25.453999999999997,,False
Calibration Curve,,25.4985,,False
Calibration Curve,,25.543,,False
Calibration Curve,,25.5875,,False
Calibration Curve,,25.631999999999998,,False
Calibration Curve,,25.676499999999997,,False
Calibration Curve,,25.721,,False
Calibration Curve,,25.7655,,False
Calibration Curve,,25.81,,False
Calibration Curve,,25.854499999999998,,False
Calibration Curve,,25.898999999999997,,False
Calibration Curve,,25.9435,,False
Calibration Curve,,25.988,,False
Calibration Curve,,26.0325,,False
Calibration Curve,,26.076999999999998,,False
Calibration Curve,,26.121499999999997,,False
Calibration Curve,,26.166,,False
Calibration Curve,,26.2105,,False
Calibration Curve,,26.255,,False
Calibration Curve,,26.2995,,False
Calibration Curve,,26.343999999999998,,False
Calibration Curve,,26.3885,,False
Calibration Curve,,26.433,,False
Calibration Curve,,26.4775,,False
Calibration Curve,,26.522,,False
Calibration Curve,,26.566499999999998,,False
Calibration Curve,,26.610999999999997,,False
Calibration Curve,,26.6555,,False
Calibration Curve,,26.7,,False
Calibration Curve,,26.7445,,False
Calibration Curve,,26.788999999999998,,False
Calibration Curve,,26.833499999999997,,False
Calibration Curve,,26.878,,False
Calibration Curve,,26.9225,,False
Calibration Curve,,26.967,,False
Calibration Curve,,27.011499999999998,,False
Calibration Curve,,27.055999999999997,,False
Calibration Curve,,27.1005,,False
Calibration Curve,,27.145,,False
Calibration Curve,,27.1895,,False
Calibration Curve,,27.233999999999998,,False
Calibration Curve,,27.278499999999998,,False
Calibration Curve,,27.323,,False
Calibration Curve,,27.3675,,False
Calibration Curve,,27.412,,False
Calibration Curve,,27.4565,,False
Calibration Curve,,27.500999999999998,,False
Calibration Curve,,27.545499999999997,,False
Calibration Curve,,27.59,,False
Calibration Curve,,27.6345,,False
Calibration Curve,,27.679,,False
Calibration Curve,,27.723499999999998,,False
Calibration Curve,,27.767999999999997,,False
Calibration Curve,,27.8125,,False
Calibration Curve,,27.857,,False
Calibration Curve,,27.9015,,False
Calibration Curve,,27.945999999999998,,False
Calibration Curve,,27.990499999999997,,False
Calibration Curve,,28.035,,False
Calibration Curve,,28.0795,,False
Calibration Curve,,28.124,,False
Calibration Curve,,28.168499999999998,,False
Calibration Curve,,28.212999999999997,,False
Calibration Curve,,28.2575,,False
Calibration Curve,,28.302,,False
Calibration Curve,,28.3465,,False
Calibration Curve,,28.391,,False
Calibration Curve,,28.435499999999998,,False
Calibration Curve,,28.479999999999997,,False
Calibration Curve,,28.5245,,False
Calibration Curve,,28.569,,False
Calibration Curve,,28.6135,,False
Calibration Curve,,28.657999999999998,,False
Calibration Curve,,28.702499999999997,,False
Calibration Curve,,28.747,,False
Calibration Curve,,28.7915,,False
Calibration Curve,,28.836,,False
Calibration Curve,,28.880499999999998,,False
Calibration Curve,,28.924999999999997,,False
Calibration Curve,,28.9695,,False
Calibration Curve,,29.014,,False
Calibration Curve,,29.0585,,False
Calibration Curve,,29.102999999999998,,False
Calibration Curve,,29.147499999999997,,False
Calibration Curve,,29.192,,False
Calibration Curve,,29.2365,,False
Calibration Curve,,29.281,,False
Calibration Curve,,29.325499999999998,,False
Calibration Curve,,29.369999999999997,,False
Calibration Curve,,29.4145,,False
Calibration Curve,,29.459,,False
Calibration Curve,,29.5035,,False
Calibration Curve,,29.548,,False
Calibration Curve,,29.592499999999998,,False
Calibration Curve,,29.636999999999997,,False
Calibration Curve,,29.6815,,False
Calibration Curve,,29.726,,False
Calibration Curve,,29.7705,,False
Calibration Curve,,29.814999999999998,,False
Calibration Curve,,29.859499999999997,,False
Calibration Curve,,29.904,,False
Calibration Curve,,29.9485,,False
Calibration Curve,,29.993,,False
Calibration Curve,,30.037499999999998,,True
Calibration Curve,,30.081999999999997,,True
Calibration Curve,,30.1265,,True
Calibration Curve,,30.171,,True
Calibration Curve,,30.2155,,True
Calibration Curve,,30.259999999999998,,True
Calibration Curve,,30.304499999999997,,True
Calibration Curve,,30.349,,True
Calibration Curve,,30.3935,,True
Calibration Curve,,30.438,,True
Calibration Curve,,30.482499999999998,,True
Calibration Curve,,30.526999999999997,,True
Calibration Curve,,30.571499999999997,,True
Calibration Curve,,30.616,,True
Calibration Curve,,30.6605,,True
Calibration Curve,,30.705,,True
Calibration Curve,,30.749499999999998,,True
Calibration Curve,,30.793999999999997,,True
Calibration Curve,,30.8385,,True
Calibration Curve,,30.883,,True
Calibration Curve,,30.9275,,True
Calibration Curve,,30.971999999999998,,True
Calibration Curve,,31.016499999999997,,True
Calibration Curve,,31.061,,True
Calibration Curve,,31.1055,,True
Calibration Curve,,31.15,,True
Calibration Curve,,31.194499999999998,,True
Calibration Curve,,31.238999999999997,,True
Calibration Curve,,31.2835,,True
Calibration Curve,,31.328,,True
Calibration Curve,,31.3725,,True
Calibration Curve,,31.416999999999998,,True
Calibration Curve,,31.461499999999997,,True
Calibration Curve,,31.506,,True
Calibration Curve,,31.5505,,True
Calibration Curve,,31.595,,True
Calibration Curve,,31.639499999999998,,True
Calibration Curve,,31.683999999999997,,True
Calibration Curve,,31.728499999999997,,True
Calibration Curve,,31.773,,True
Calibration Curve,,31.8175,,True
Calibration Curve,,31.862,,True
Calibration Curve,,31.906499999999998,,True
Calibration Curve,,31.950999999999997,,True
Calibration Curve,,31.9955,,True
Calibration Curve,,32.04,,True
Calibration Curve,,32.0845,,True
Calibration Curve,,32.129,,True
Calibration Curve,,32.1735,,True
Calibration Curve,,32.217999999999996,,True
Calibration Curve,,32.262499999999996,,True
Calibration Curve,,32.306999999999995,,True
Calibration Curve,,32.3515,,True
Calibration Curve,,32.396,,True
Calibration Curve,,32.4405,,True
Calibration Curve,,32.485,,True
