Concentration_ug/mL,Vmax_Fitted,Equation
6.429805276381909,36162.224187234926,y = (38002.70 * x) / (0.3272 + x)
6.466708542713567,36172.22123965011,y = (38002.70 * x) / (0.3272 + x)
6.503611809045226,36182.11027518727,y = (38002.70 * x) / (0.3272 + x)
6.5405150753768835,36191.89303510227,y = (38002.70 * x) / (0.3272 + x)
6.577418341708542,36201.57122342515,y = (38002.70 * x) / (0.3272 + x)
6.614321608040201,36211.14650794955,y = (38002.70 * x) / (0.3272 + x)
6.6512248743718585,36220.620521190875,y = (38002.70 * x) / (0.3272 + x)
6.688128140703517,36229.99486131419,y = (38002.70 * x) / (0.3272 + x)
6.725031407035175,36239.27109303292,y = (38002.70 * x) / (0.3272 + x)
6.7619346733668335,36248.45074847954,y = (38002.70 * x) / (0.3272 + x)
6.798837939698492,36257.53532804923,y = (38002.70 * x) / (0.3272 + x)
6.83574120603015,36266.52630121736,y = (38002.70 * x) / (0.3272 + x)
6.8726444723618085,36275.42510733195,y = (38002.70 * x) / (0.3272 + x)
6.909547738693467,36284.233156381786,y = (38002.70 * x) / (0.3272 + x)
6.946451005025125,36292.951829741214,y = (38002.70 * x) / (0.3272 + x)
6.9833542713567835,36301.58248089236,y = (38002.70 * x) / (0.3272 + x)
7.020257537688441,36310.126436125545,y = (38002.70 * x) / (0.3272 + x)
7.0571608040201,36318.58499521878,y = (38002.70 * x) / (0.3272 + x)
7.094064070351759,36326.959432096926,y = (38002.70 * x) / (0.3272 + x)
7.130967336683416,36335.25099547129,y = (38002.70 * x) / (0.3272 + x)
7.167870603015075,36343.46090946035,y = (38002.70 * x) / (0.3272 + x)
7.204773869346733,36351.590374192245,y = (38002.70 * x) / (0.3272 + x)
7.241677135678391,36359.640566389535,y = (38002.70 * x) / (0.3272 + x)
7.27858040201005,36367.612639937106,y = (38002.70 * x) / (0.3272 + x)
7.315483668341708,36375.50772643349,y = (38002.70 * x) / (0.3272 + x)
7.352386934673366,36383.32693572635,y = (38002.70 * x) / (0.3272 + x)
7.389290201005024,36391.07135643256,y = (38002.70 * x) / (0.3272 + x)
7.426193467336683,36398.74205644347,y = (38002.70 * x) / (0.3272 + x)
7.463096733668341,36406.34008341581,y = (38002.70 * x) / (0.3272 + x)
7.5,36413.86646524865,y = (38002.70 * x) / (0.3272 + x)
